Release,Milestone,Expanded Scope,Design Feature,Sub Feature,Release Rationale,Business Requirement,Notes / Use Cases,AppDev Story Points,Sprint,App Dev,Work Products/Enablement/Dependencies,Lucid,Estimate
1. Dec 14 Happy Path,M4,,Services,Services Person View Page - Drug Testing Services,,,,,17,Pod 2,"GET, POST, PATCH Endpoints.  1 DataGrid",,
1. Dec 14 Happy Path,M4,,Integration,IABC,,,,0,,,,,
1. Dec 14 Happy Path,M4,,Integration,KinderTrack,,,,0,,,,,
1. Dec 14 Happy Path,M5,,Case Closure,Case Closure Workflow / Checklist,,,,50,20,Pod 2,,,
1. Dec 14 Happy Path,M5,,Case Closure,"Close a case while certain services continue, without the services being automatically end-dated. Information will be displayed at case and person levels. ",Critical on Reqs Traceability Matrix,FN0026,,,,,,,
1. Dec 14 Happy Path,M5,,Case Setup,Documents (Upload into ECF) ,,,,,,,,,
1. Dec 14 Happy Path,M5,,Courts,Add/Edit Order with Document from ECF,,,,,17,Pod 2,,,
1. Dec 14 Happy Path,M5,,Courts,Add/Edit Order with Document Upload,,,,,17,Pod 2,,,
1. Dec 14 Happy Path,M5,,ECF,Case Page: Basic Document Management / Upload,,Case Manager can view and upload general documents on Case or Person overview pages,"ECF Case Page, ECF Person Page",,19,Pod 2,,,
1. Dec 14 Happy Path,M5,,ECF,Person Page: Basic Document Management / Upload,,,,,19,Pod 2,,,
1. Dec 14 Happy Path,M5,,Integration,Central Print,,,,0,,,,,
1. Dec 14 Happy Path,M6,,Integration,Okta (Workday User Profile),,,,0,,,,,
1. Dec 14 Happy Path,M6,,Case Setup,Case Setup Drawer: Planning,,,,,,,,,
1. Dec 14 Happy Path,M6,,Planning ,Case Page: Family Plan/Case Plan,,,,75,21,Pod 1,,,
1. Dec 14 Happy Path,M6,,Planning ,Person Page: Family Plan/Case Plan,,,,75,22,Pod 1,,,
2. 2027 Go-Live MVP,TBD,Yes,Adoption,Adoption Workflow,,,,,,,,,
2. 2027 Go-Live MVP,TBD,Yes,Adoption,"As Part of the Adoption Transfer workflow, the CCWIS solution shall auto populate case information into the Adoption Transfer Checklist.",Req Traceability Matrix: Medium,FN0012,,,,,,,
2. 2027 Go-Live MVP,TBD,Yes,Adoption,"As part of the Adoption Transfer workflow, the CCWIS solution shall capture the Adoption Transfer Checklist in the system. Information will be displayed at the case and person level. ",Req Traceability Matrix: Critical,FN0016,,,,,,,
2. 2027 Go-Live MVP,TBD,Yes,Adoption,"As part of the Adoption workflow, the CCWIS solution shall allow users to complete a checklist of tasks. This information will display at the case and person level. ",Req Traceability Matrix: Critical,FN0009,,,,,,,
2. 2027 Go-Live MVP,TBD,Yes,Adoption,Case Page: Adoption,,,,,,,,,
2. 2027 Go-Live MVP,TBD,Yes,Adoption,Person Page: Adoption,,,,,,,,,
2. 2027 Go-Live MVP,TBD,Yes,Adoption,The CCWIS solution shall allow supervisors (SWCM and Adoption) to approve Adoption cases for transfer or return them to their staff for additional changes prior to approval.,Req Traceability Matrix: Critical,FN0005,,,,,,,
2. 2027 Go-Live MVP,TBD,Yes,Adoption,The CCWIS solution shall allow Supervisors to approve the transfer to a Subsidy Worker or return it to their staff for additional changes prior to approval. This applies to both adoptions and subsidized guardianship. ,Req Traceability Matrix: Critical,FN0211,,,,,,,
