Release,Milestone,Expanded Scope,Design Feature,Sub Feature,Release Rationale,Business Requirement,Notes / Use Cases,AppDev Story Points,Sprint,App Dev,Work Products/Enablement/Dependencies,Lucid,Estimate
,,,ICPC,"As part of the ICPC Workflow, the CCWIS solution shall allow users to enter living arrangements, court information, and Title IV-E information for outgoing ICPC cases while still having the ability to continue with case management documentation/activities. Information will be displayed at the case and person level.",Critical,FN0135,,,,,,,
,,,ICPC,"As part of the ICPC Workflow, the CCWIS solution shall allow users to enter living arrangements, services, and notes when creating a case for recieving ICPC Cases. Information will be displayed at the case and person level. ",Critical,FN0136,,,,,,,
,,,ICPC,"As part of the ICPC Workflow, the CCWIS solution shall house the ICPC sending state checklist in the system. This form shall be auto populated with information from the case. Information is displayed at case and person level. ",Medium,FN0137,,,,,,,
,,,ICPC,The CCWIS solution shall require users to confirm if case is an ICPC case when they enter and save an out of state address for a child case member. ,High,FN0305,,,,,,,
,,,Living Arrangements,The CCWIS solution shall allow hospital or runaway living arrangement types to overlap with other living arrangement types. Information is displayed at the case and person level.,High,FN0139,,,,,,,
,,,Living Arrangements,The CCWIS solution shall allow prior living arrangements to be reviewed for a case member in prior cases. Information is displayed at the person level. ,Critical,FN0140,,,,,,,
,,,Living Arrangements,"The CCWIS solution shall allow users to add, edit, and delete living arrangements throughout the life of a case. Living arrangement information is required for children with child welfare system involvement. Information is displayed at the case and person level. ",Critical,FN0141,,,,,,,
,,,Living Arrangements,The CCWIS solution shall allow users to enter additional information related to runaway children. Information is displayed at the case and person level.,Critical,FN0142,,,,,,,
,,,Living Arrangements,The CCWIS solution shall allow users to enter information related to respite services that can run concurrently with existing living arrangements. Information is displayed at the case and person level.,High,FN0143,,,,,,,
,,,Living Arrangements,The CCWIS solution shall allow users to enter start and end dates for all paid and unpaid living arrangements. Information is displayed at the case and person level.,Critical,FN0144,,,,,,,
,,,Living Arrangements,The CCWIS solution shall allow users to enter start and end dates for runaway children. Information is displayed at the case and person level.,High,FN0145,,,,,,,
,,,Living Arrangements,The CCWIS solution shall allow users to search contracted community/health services and associate them with case members. Services shall be selected from a drop-down field. Users shall have the ability to enter start and end dates of services and contact information. Data elements available for user to edit will be based on type of service selected. Information will be displayed at the case and person level.,Medium,FN0195,,,,,,,
,,,Living Arrangements,The CCWIS solution shall require users to select the Living Arrangement at Time of Initial Removal for each child from a drop-down list (AFCARS). This will be populated on a widget that will become available to edit when there is an out of home living arrangement and court orders entered in the system.,Critical,FN0153,,,,,,,
,,,N/A,Capture incident numbers as hyperlinks on dashboards that will take users to the assessment in JARVIS when selected. ,,FN0255,,,,,,,
,,,Notifications,"Populate provider notifications, new criminal complaints, and ""data exchange"" updates regarding associated case persons automatically on SWCM dashboards. These notifications only populate on the SWCM dashboard. ",,FN0122,,,,,,,
,,,Person Overview Page,"Add persons associated with a case to households, by giving them the same address and associating them to at least one case member. Information will display at the case and person level.",Critical on Req Traceability Matrix,FN0071,,,,,,,
,,,Person Overview Page,"Add, edit, or delete person from households.",Critical on Req Traceability Matrix,FN0073,,,,,,,
,,,Services,"""round robin"" selection of provider agencies, where appropriate. The CCWIS solution shall allow users to override the ""round robin"" provider agency selection. If an override is selected, users shall be required to select justification for the override from a drop-down menu.",Critical,FN0196,,,,,,,
,,,Services,Associate forms/documents to service referrals.,High,FN0197,,,,,,,
,,,Services,"For child protective services, the CCWIS solution shall allow users to end services captured in the service  authorization screen. Users shall be required to select an end reason from a drop-down menu. Ended services will be displayed at the case and person level. ",Critical,FN0198,,,,,,,
,,,Services,Identify a service and a reason for service (for child protective services only) from drop-down menus. Information will be displayed at the case and person level.,High,FN0199,,,,,,,
,,,Services,"The CCWIS solution shall allow users to enter multiple services under a provider at the same time. This would include both paid child protective services, and community/health services. ",High,FN0265,,,,,,,
,,,Services,The CCWIS solution shall automatically populate drug testing service information from JARVIS. Users will have the ability to edit and add drug testing service referral information. ,High,FN0306,,,,,,,
,,,Services,The CCWIS solution shall automatically populate service provider contact information into the service referral once the provider is selected. Information will be displayed at the case and person level.,Medium,FN0202,,,,,,,
,,,Services,"The CCWIS solution shall automaticfally populate service goals and objectives from a drop down list.

Service Goals 
1. Self Sufficiency (For SAL-Living Arrangement ONLY)
2. Prevent Neglect, Abuse, and Exploitation (For all other Living Arrangement Types)

Service Objectives
1. Remove Barriers to Self-Sufficiency (For SAL Living Arrangment ONLY)
2. Protection for Children (For all other Living Arrangement Types)",High,FN0269,,,,,,,
,,,Services,"The CCWIS solution shall require all cases to have at least one Case Management service added to services. These services include CPS Case Management, ICPC Supervision, Future Needs Subisdy, Adoption Subisdy, Subsidized Guardianship, and Presubsidy.",High,FN0266,,,,,,,
,,,Services,"The CCWIS solution shall require users to enter service authorization start and end dates for child protective services that require authorization (e.g., drug testing). Information will be displayed at the case and person level.",Critical,FN0203,,,,,,,
,,,Services,The CCWIS solution shall require users to enter service start and end dates. End-dating services shall end-date professionals associated with those services. Information will be displayed at the case and person level.,Critical,FN0204,,,,,,,
,,,Services,Updates to Services modals to support integration with ECF,,,,,,,,,
,,,Supervisor Dashboard,"Alow supervisors and other managers to transfer cases from one SWCM to another SWCM. If a case is transferred to a different Service Area, the case will be displayed on the Case Assignment Dashboard.",,FN0006,,,,,,,
,,,Supervisor Dashboard,"Dashboards specific to system roles (e.g., CPW dashboard, Supervisor dashboard, SWCM dashboard, Case Assignment dashboard).",,FN0054,,,,,,,
,,,Supervisor Dashboard,"Display CPW/SWCMs associated with the supervisor, their individual caseload totals, pending cases, and court cases on the supervisor dashboard. The total number of children on their caseloads shall be listed, as well as the total visits required for the children on their caseload. Dashboards shall also capture required tasks, allow filtering, and the ability to display other supervisors caseloads and workers. ",,FN0116,,,,,,,
,,,Supervisor Dashboard,Populate cases pending transfer in the SWCM (user assigned) and supervisor dashboards.,,FN0121,,,,,,,
,,,System Admininstration,"Case Assignment dashboard that displays all cases needing assignment. Case Assignment dashboard will filter by service area automatically based on user's domicile/office. Service area drop down options: 

Western
Northern
Eastern 
Cedar Rapids
Des Moines",,FN0052,,,,,,,
